City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,koulikoro,14.0,-7.75,73.31,15,0,6.62,ML,1675999164
132,luderitz,-26.6481,15.1594,62.76,91,7,9.04,NA,1675999164
133,hovd,48.0056,91.6419,7.43,74,100,1.45,MN,1675999165
134,praia da vitoria,38.7333,-27.0667,55.65,76,20,13.78,PT,1675999165
135,gat,31.61,34.7642,49.41,70,79,1.39,IL,1675998953
136,taksimo,56.3444,114.8794,-3.19,92,98,0.6,RU,1675999166
137,kiama,-34.6833,150.8667,85.37,67,4,8.99,AU,1675999166
138,mayo,38.8876,-76.5119,66.36,73,40,14.97,US,1675999166
139,paamiut,61.994,-49.6678,19.22,91,100,22.12,GL,1675999167
140,hede,33.7681,120.2517,44.89,65,89,5.59,CN,1675999167
141,severo-kurilsk,50.6789,156.125,20.61,63,87,25.81,RU,1675999167
142,lillooet,50.6856,-121.942,38.93,95,77,5.21,CA,1675999167
143,awjilah,29.1081,21.2869,52.93,64,25,6.89,LY,1675999168
144,lorengau,-2.0226,147.2712,81.86,80,99,14.23,PG,1675999168
145,eenhana,-17.4667,16.3333,67.71,71,73,6.17,NA,1675999168
146,abu kamal,34.4506,40.9171,41.88,48,100,5.66,SY,1675999169
147,ribeira grande,38.5167,-28.7,56.77,67,82,5.99,PT,1675999169
148,zhigansk,66.7697,123.3711,-37.95,96,99,7.87,RU,1675999170
149,port-gentil,-0.7193,8.7815,80.83,78,83,7.9,GA,1675999170
150,east london,-33.0153,27.9116,68.94,94,100,4.61,ZA,1675999170
151,hermanus,-34.4187,19.2345,71.8,77,77,15.37,ZA,1675999171
152,jalu,29.0331,21.5482,52.84,62,26,8.08,LY,1675999171
153,grindavik,63.8424,-22.4338,36.07,87,100,32.21,IS,1675999171
154,beyneu,45.3167,55.2,16.14,89,30,7.49,KZ,1675999172
155,bairiki,1.3292,172.9752,87.8,70,20,14.97,KI,1675999172
156,vrchlabi,50.627,15.6094,22.78,88,48,1.25,CZ,1675999172
157,pitanga,-24.7572,-51.7614,68.34,75,35,4.61,BR,1675999173
158,kaitangata,-46.2817,169.8464,58.82,56,77,7.4,NZ,1675999173
159,nuuk,64.1835,-51.7216,11.08,93,100,10.98,GL,1675999122
160,diebougou,10.9667,-3.25,76.98,16,4,5.5,BF,1675999173
161,lagoa,39.05,-27.9833,56.73,58,77,11.88,PT,1675999174
162,esperance,-33.8667,121.9,74.16,53,0,4.76,AU,1675999174
163,new norfolk,-42.7826,147.0587,71.91,66,52,1.99,AU,1675999174
164,namatanai,-3.6667,152.4333,83.95,72,100,12.68,PG,1675999175
165,fort nelson,58.8053,-122.7002,13.59,93,100,3.44,CA,1675999175
166,portland,45.5234,-122.6762,52.21,67,40,12.66,US,1675998891
167,batagay-alyta,67.8006,130.4114,-34.91,96,95,0.94,RU,1675999176
168,acajutla,13.5928,-89.8275,77.41,77,0,7.05,SV,1675999176
169,tautira,-17.7333,-149.15,81.21,74,36,10.87,PF,1675999176
170,challapata,-18.9,-66.7667,48.92,77,100,8.1,BO,1675999177
171,san patricio,28.017,-97.5169,62.46,52,100,6.93,US,1675999177
172,nalut,30.3333,10.85,43.11,71,66,7.02,LY,1675999178
173,nome,64.5011,-165.4064,-0.33,71,100,6.91,US,1675999178
174,margate,51.3813,1.3862,38.7,74,87,7.14,GB,1675999126
175,kawalu,-7.3817,108.2082,85.46,61,89,0.94,ID,1675999178
176,srednekolymsk,67.45,153.6833,-36.67,96,75,4.43,RU,1675999179
177,owando,-0.4819,15.8999,72.86,57,59,2.06,CG,1675999179
178,los llanos de aridane,28.6585,-17.9182,55.15,82,20,6.91,ES,1675999179
179,miri,4.4148,114.0089,86.14,79,40,4.61,MY,1675999180
180,olafsvik,64.8945,-23.7142,31.35,90,100,21.12,IS,1675999180
181,nouadhibou,20.931,-17.0347,62.58,94,75,8.05,MR,1675999074
182,sri aman,1.2376,111.4621,80.65,83,40,0.0,MY,1675999180
183,manavgat,36.7867,31.4431,38.16,51,0,8.66,TR,1675999071
184,provideniya,64.3833,-173.3,-3.89,59,100,11.18,RU,1675999181
185,liwale,-9.7667,37.9333,71.35,99,100,4.5,TZ,1675999181
186,pangody,65.85,74.4859,9.23,90,100,16.71,RU,1675999182
187,cherskiy,68.75,161.3,-39.82,98,97,4.99,RU,1675999182
188,ust-ishim,57.6935,71.1665,-2.49,100,95,3.85,RU,1675999182
189,rancho palos verdes,33.7445,-118.387,72.0,49,0,5.01,US,1675999183
190,pietarsaari,63.65,22.6833,33.01,93,100,9.08,FI,1675999183
191,vao,-22.6667,167.4833,78.73,82,100,12.75,NC,1675999183
192,riohacha,11.5444,-72.9072,78.04,74,97,14.07,CO,1675999183
193,bull savanna,17.8868,-77.5902,71.26,82,1,7.47,JM,1675999184
194,tyup,42.7276,78.3648,16.83,80,100,8.14,KG,1675999184
195,georgetown,5.4112,100.3354,87.73,73,20,5.75,MY,1675999206
196,campo maior,-4.8278,-42.1686,76.62,72,60,4.25,BR,1675999207
197,san jose,37.3394,-121.895,59.0,67,0,6.91,US,1675999138
198,okha,53.5739,142.9478,-11.18,88,16,14.18,RU,1675999207
199,cockburn town,21.4612,-71.1419,78.01,74,1,22.93,TC,1675999208
200,kisiwani,-4.1333,37.95,68.34,89,39,1.68,TZ,1675999209
201,jumla,29.2747,82.1838,45.81,40,7,0.65,NP,1675999210
202,grand gaube,-20.0064,57.6608,79.38,75,61,5.99,MU,1675999211
203,antalaha,-14.9003,50.2788,72.97,90,82,5.01,MG,1675999211
204,paracuru,-3.41,-39.0306,81.1,85,78,8.28,BR,1675999212
205,rocha,-34.4833,-54.3333,65.19,94,0,4.47,UY,1675998926
206,nueva concepcion,14.2,-91.3,73.99,81,0,2.26,GT,1675999120
207,kavieng,-2.5744,150.7967,81.63,82,100,13.29,PG,1675999213
208,krasnoselkup,65.7,82.4667,-5.44,98,100,12.39,RU,1675999213
209,zomin,39.9606,68.3958,21.36,96,100,3.38,UZ,1675999214
210,moree,-29.4667,149.85,87.73,32,0,7.58,AU,1675999214
211,kashi,39.4547,75.9797,31.95,43,100,0.92,CN,1675998957
212,yining,29.0361,114.5636,47.73,90,100,2.57,CN,1675999215
213,noshiro,40.2039,140.0242,31.03,61,100,5.68,JP,1675999217
214,oriximina,-1.7656,-55.8661,73.44,96,75,2.33,BR,1675999218
215,miraflores,19.2167,-98.8083,65.03,70,17,3.29,MX,1675999219
216,sayan,-11.1361,-77.1933,71.94,83,100,2.64,PE,1675999219
217,creston,41.0586,-94.3614,30.33,93,100,16.11,US,1675999219
218,piacabucu,-10.4056,-36.4344,77.92,84,43,6.98,BR,1675999220
219,prado,-17.3411,-39.2208,74.1,91,72,3.38,BR,1675999221
220,upernavik,72.7868,-56.1549,-23.67,95,99,7.4,GL,1675999101
221,charters towers,-20.1,146.2667,87.87,35,2,10.25,AU,1675999222
222,mahebourg,-20.4081,57.7,79.25,78,40,6.91,MU,1675999222
223,brae,60.3964,-1.353,37.6,97,100,14.03,GB,1675999222
224,saint-philippe,-21.3585,55.7679,80.19,80,99,10.92,RE,1675999223
225,dedza,-14.3779,34.3332,58.53,95,85,2.91,MW,1675999223
226,sibu,2.3,111.8167,82.71,74,40,3.44,MY,1675999224
227,sooke,48.3746,-123.7276,43.66,88,86,4.25,CA,1675999220
228,tarko-sale,64.9225,77.785,-0.6,96,100,13.44,RU,1675999225
229,wexford,52.3342,-6.4575,41.9,89,99,4.0,IE,1675999226
230,raymondville,26.4815,-97.7831,65.23,58,71,5.28,US,1675999227
231,ekibastuz,51.6667,75.3667,-1.61,92,99,8.57,KZ,1675999228
232,port hardy,50.6996,-127.4199,42.98,93,100,16.11,CA,1675999228
233,umm kaddadah,13.6017,26.6876,61.93,16,18,13.85,SD,1675999228
234,hamilton,39.1834,-84.5333,44.65,74,100,24.16,US,1675999229
235,bontang,0.1333,117.5,82.56,71,100,5.95,ID,1675999229
236,cairns,-16.9167,145.7667,85.95,70,100,10.36,AU,1675999230
237,egvekinot,66.3167,-179.1667,-22.41,88,89,6.96,RU,1675999230
238,peleduy,59.6289,112.7406,10.22,92,100,3.33,RU,1675999231
239,sidney,-33.8679,151.2073,90.61,65,20,12.66,AU,1675999125
240,waipawa,-41.4122,175.5153,62.71,58,77,12.33,NZ,1675999231
241,narsaq,60.9167,-46.05,21.42,97,100,2.91,GL,1675999232
242,siparia,10.1333,-61.5,74.82,87,11,10.04,TT,1675999232
243,talnakh,69.4865,88.3972,-6.47,97,100,12.35,RU,1675999233
244,coahuayana,18.7333,-103.6833,70.43,86,1,1.97,MX,1675999233
245,hervey bay,-25.2986,152.8535,81.95,58,0,22.7,AU,1675999233
246,kadoshkino,54.0257,44.4191,3.69,99,67,6.06,RU,1675999234
247,mackay,-21.15,149.2,92.68,66,10,10.4,AU,1675999234
248,acapulco,16.8634,-99.8901,80.42,69,0,6.91,MX,1675999234
249,fairbanks,64.8378,-147.7164,-1.86,80,75,6.91,US,1675999233
250,tagusao,9.1924,117.8141,82.45,71,5,9.15,PH,1675999235
251,conceicao do araguaia,-8.2578,-49.2647,73.17,90,30,1.41,BR,1675999236
252,creel,27.75,-107.6333,38.19,23,28,4.94,MX,1675999236
253,sheridan,44.8333,-106.9173,21.45,73,0,4.61,US,1675999236
254,ostrovnoy,68.0531,39.5131,33.4,76,100,25.32,RU,1675999237
255,nuevitas,21.5453,-77.2644,75.96,78,19,15.68,CU,1675999237
256,saint george,37.1041,-113.5841,45.19,33,0,16.11,US,1675999238
257,san julian,21.0167,-102.1667,60.82,30,99,7.63,MX,1675999238
258,chifeng,42.2683,118.9636,31.14,51,0,7.2,CN,1675999239
259,arlit,18.7369,7.3853,69.85,15,0,6.35,NE,1675999239
260,galesong,-5.3166,119.3661,86.02,80,100,10.54,ID,1675999240
261,burnie,-41.0667,145.9167,67.91,68,100,4.63,AU,1675999240
